shop_name,review_text,cleaned_text
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),平日のランチブッフェに行きました。店内は広々していて、テーブルもイスも大きめで、ゆったり過ごせました。季節の料理がメインで、楽しく選ぶことができ、あまり混んでいなかったからか、並ぶこと...,平日のランチブッフェに行きました。は広々していて、もイスも大きめで、ゆったり過ごせました。季節のがメインで、楽しく選ぶができ、あまり混んでいなかったからか、並ぶ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),GW中にレストラン利用のみで訪問。ホテルの中にあるため、エントランス、トイレなどを含めて全体的に綺麗で快適。今年はどうやら5周年の模様。料理の品数は可もなく不可もなく感じるが、一つ一つ丁寧...,GW中にのみで。ホテルの中に、エントランス、トイレなどを含めて全体に綺麗で快適。今年はどうやら5周年の模様。の品数は可もなく不可もなく感じるが、丁寧
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),素敵なレストランでした️ライブキッチンでローストビーフとスープを頂けました。海鮮も置いてあり自由に丼が作れます。料理も充実していてとても良かったです。デザートにフルーツやケーキ...,素敵なでした️ライブキッチンでローストビーフとスープを頂けました。海鮮も置いてあり自由に丼が作れます。も充実していてとても良かったです。にフルーツやケーキ
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),この日は早朝から丸一日展示会を回る予定にしていたこともあって、夕食はホテルのビュッフェを予約していました。夕方から荒天になって屋外はどんどん風雨が強くなっていたので、予約をしていて良かったなと...,このは早朝から丸一展示会を回る予定にしていたもあって、夕食はホテルのビュッフェをしていました。夕方から荒天になって屋外はどんどん風雨が強くなっていたので、をしていて良かったなと
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),一休予約で100円引き！コスパいい！ホテルビュッフェは、旅行に行った気分になる！有明で降りたのは、はじめてで、楽しい！イチゴのモンブラン！自分で作る海鮮丼！桜...,一休で100引き！コスパいい！ホテルビュッフェは、旅行に行った気分に！有明で降りたのは、はじめてで、楽しい！イチゴのモンブラン！で作る海鮮丼！桜
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),グランドエール、ホテルのビュッフェレストランとしてはコスパがいい場所です。そして美味しい。朝も夜もある、海鮮丼がおすすめ。一面ハイシーリングのガラス窓で、明るく穏やかな空間。テーブルは広め。寛...,グランドエール、ホテルのビュッフェとしてはコスパがいいです。そして。朝も夜も、海鮮丼が。一面ハイシーリングのガラス窓で、明るく穏やかな空間。は広め。寛
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ここ最近、予約時点で既に満席の事が多く（アポ無しでは三回連続入れなかった。）。もう、大人気のレストラン。なので、事前に予約していくことにした。国内外問わず、団体のお客様の行...,ここ最近、時点で既に満席の事が多く（アポ無しでは三回連続入れなかった。）。もう、大人気の。なので、事前にしてにした。国内外問わず、団体のお客様の行
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),コスパ最高のホテルランチ。お刺身が美味しかったけど、サーモンがちょっと厚切りすぎるかなー。その代わりマグロが薄切りで大きいので食べ応えがあって美味しかった。何気にお味噌汁がめちゃ美味いです。...,コスパのホテルランチ。お刺身が美味しかったけど、サーモンが厚切りすぎるかなー。その代わりマグロが薄切りで大きいので食べ応えがあって美味しかった。何にお味噌汁がめちゃ美味いです。
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),昨年の夏以来、久しぶりに利用させていただきました。早いものでもう5周年！本日も家族で利用しました。スプリングビュッフェで、桜スイーツなどが並んでいました。可愛らしくて子供達も大喜びです...,昨年の夏以来、久しぶりにさせていただきました。早いでもう5周年！本日も家族でしました。スプリングビュッフェで、桜スイーツなどが並んでいました。可愛らしくて子供達も大喜びです
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),東京ガーデンシアターでイベントがあるため予約をして行きました。イベントに来た層はあまりいない印象でした。外国人客が多いからか外国人の店員さんは多かったですが、日本人の方より丁寧に接客してくださる印象で...,東京ガーデンシアターでイベントがをして行きました。イベントに来た層はあまりい印象でした。外国客が多いからか外国のは多かったですが、日本人の方より丁寧に接客してくださる印象で
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),土日祝日のランチ来訪。ここのブッフェは、和洋中あり。個人的には和食が充実している所がとてもお気に入り。その中でも毎回楽しみにしている、海鮮丼コーナー。なんと、この日...,土日祝日のランチ来訪。ここのブッフェは、和洋中あり。個人には和食が充実して所がとてもお気に入り。その中でも毎回楽しみにして、海鮮丼コーナー。なんと、この
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),ヴィラフォンテーヌ有明に宿泊朝いち温泉（ほぼ貸し切り）満喫後、朝食会場へ片面ぜんぶ格子窓で明るいしゆりかもめの行き来が目の前こちらの目玉は海鮮丼でした寿司飯が温かいやっぱり東京の...,ヴィラフォンテーヌ有明に宿泊朝いち温泉（ほぼ貸し切り）満喫後、朝食会場へ片面ぜんぶ格子窓で明るいしゆりかもめの行き来が目の前の目玉は海鮮丼でした寿司飯が温かいやっぱり東京の
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),土日祝日ランチ時に来訪。ディナー同様、和食・ソフトドリンク・デザートもランチブッフェのメニューに含まれていた。嬉しい。ライブブッフェは、パスタ一種。今回は鮭のクリームパスタ。...,土日祝日ランチに来訪。ディナー同様、和食・ソフトドリンク・もランチブッフェのに含まれていた。嬉しい。ライブブッフェは、パスタ一種。は鮭のクリームパスタ。
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),土日夜来訪。縦長だが意外と収容力があり、広々とした店内。開放感溢れる、高い天井。メニュー数が豊富で、制覇出来ない程。そしえ、総じて、お料理のクオリティが高い。...,土日夜来訪。縦長だが意外と収容力があり、広々とした。開放溢れる、高い天井。数がで、制覇出来程。そしえ、総じて、おのクオリティが高い。
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),お正月に宿泊し、朝ごはんにコチラを利用しました。10種類？の厳選した海の幸をトッピングできる勝手丼が人気ですが、お正月はおせち料理やお雑煮、お汁粉もありました。（ライブキッチン）焼き立...,お正月に宿泊し、朝ごはんにコチラをしました。10？の厳選した海の幸をトッピングできる勝手丼がですが、お正月はおせちやお雑煮、お汁粉もありました。（ライブキッチン）焼き立
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),お正月に家族で新年ランチをしました。お刺身、サラダ、お肉・魚料理、ラーメン、パン、そしてデザートもソフトクリームを含め何種類もあり、全体的に種類は十分あったかと思います。ライブキッチンではパスタの...,お正月に家族で新年ランチをしました。お刺身、サラダ、お・、ラーメン、パン、そしてもソフトクリームを含め何もあり、全体には十分あったかと思います。ライブキッチンではパスタの
オールデイダイニング グランドエール(ヴィラフォンテーヌ グランド 東京有明),洋食のブッフェのようでラーメンもカレーもあり特に、イカ、マグロ、サーモンなど海鮮が楽しめました酢飯もあったので海鮮丼にしました牛肉を使ったステーキのようなものはなかったです...,洋食のブッフェのでラーメンもカレーもあり特に、イカ、マグロ、サーモンなど海鮮が楽しめました酢飯もあったので海鮮丼にしました牛肉を使ったステーキのなはなかったです
