店舗ID,店舗名,ジャンル,総合評価,店舗URL,レビュアー,レビュー評価,レビュー日付,レビュー本文
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,,"ここ何年かで食べた焼肉の中で1番美味しかったです。
写真は素人なので下手くそでごめんなさい。というか食べかけの写真でごめんなさい。
滅多に投稿しませんが、本当に美味しかったのできちんと書きました。
ここのホルモンは間違いなく塩。塩をおすすめされて、わさびで食べたらめちゃくちゃ美味しかった。
上タンも分厚くて、めちゃくちゃ美味しいです。上タンじゃない普通のタンも頼みましたが、全然分厚いです。本当に美味しかった。ハラミもおすすめです。
キムチは、山芋キムチが絶対おすすめ。山芋好きなら間違いなく大好き。本当に美味しい。
なんか、どれを頼んでも美味しくて、久しぶりにいいお店だなって思える焼肉屋に出会いました。
近所のなのでよく来させてもらおうと思います。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/12訪問
5
回目","大好きなここ肉で初ランチ
ここ肉御膳を注文。
コスパが良すぎる、お肉に小鉢にスープに山盛りご飯、、ランチはドリンクも半額で飲めてお得祭りでした！
上質なお肉をコスパ良く食べるのにオススメです。
ご馳走様でした。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/12訪問
1
回目","練馬駅北口にあるこちらを訪問です。
「和牛石焼きプルコギ定食」を注文しました。
混ぜてしまってもいいですか？とのことで混ぜてもらいました。
10分ほどでキムチと共に提供されます。
さらに2分ほどおこげがつくのを待ちます。
熱々石焼きでお腹一杯です。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/07訪問
1
回目","練馬駅から歩いてすぐの綺麗な焼肉屋さんでランチです。

3つあるランチセットの中で一番質と量の良い、ここ肉御膳をライス大盛で注文です。

店員さんがお肉の部位を説明してくれて、いざ焼肉開始です。

さすが山形牛を使っているだけあって、お肉は柔らかく旨みが抜群です。タレ、わさび＆塩どちらも合います。

だからこそ、ご飯も美味しければ最高でしたが、ゆったりとした焼肉ランチを堪能できました。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/07訪問
4
回目","平日夜は焼肉定食が食べられます。
お肉、ご飯、ナムルやキムチがついて2500円程。 お肉の質も良いし、少し足りなかったらお肉のハーフも頼めます！この日はここロースのハーフを追加しました。笑
大満足です、ご馳走様でした！"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/06訪問
1
回目","練馬駅から徒歩5分ほど、住宅地へ入る手前にあるので人気はあまりないところです

5、6回ほどリピートさせていただいていますが、海外の方がスタッフさんのメインですが接客もよく、しっかりしたサービスが受けられます。
ボックス席になっていて居心地もよく
排煙もしっかりしているので、臭いもつきにくい

生キムチ、ミノ、厚切りタンがオススメです
穴場です！
ランチもやっているので、近所にこんな焼肉屋があったらなあを叶えてくれる良店です。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/03訪問
3
回目","練馬近辺でおすすめの焼肉を聞かれたら、絶対にこちらのお店を紹介してます。
味が美味しいのはもちろん、店員さんのホスピタリティが本当に素晴らしい。。お肉の質も良いし、店内も綺麗。時間帯によっては満席なことも多いので、予約することをオススメします。
ご馳走様でした〜！"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/03訪問
1
回目",「焼肉屋」に再訪しました。駅から近く、アクセスが便利なのが嬉しいです。店内は落ち着いた雰囲気で、店員さんも優しく気持ちよく過ごせます。今回頼んだお肉は相変わらず美味しく、特にミノの柔らかさに感動しました。また、この店ならではの珍しいキムチも是非味わってほしい一品です。コストパフォーマンスも良く、何度でも訪れたくなるお店です。もっと色々なお肉を試してみたいと思います。また行きます！
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/01訪問
2
回目",お肉も美味しくて、店員さんもみんな優しくて、練馬でおすすめしたい焼肉屋さん。駅からも近くてコスパも悪くありません。この日はミノが特に美味しかったです。あと、この店ならではの珍しいキムチもぜひ食べてもらいたい。また訪問します。ごちそうさまでした。
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2025/01訪問
1
回目","練馬で美味しい焼肉探求隊。

生キムチはちょい甘め。
シャキシャキで、お肉と一緒に食べてもGood！
是非頼んでみて。


カルビは霜降ってて美味しかったです。上じゃなくても上のような肉感♡


ネギたんはネギが別で大量に貰えます。
他のお肉に乗っけて食べてもいいね。

帰る前にピノ1つもらえるよ嬉しい。
出る時に「リセッシュしますか〜？」と店員さんが外で見送ってくれます。ホスピタリティ〜！"
